puesto,ciudad,fecha
Diseñador-Programador Web,Barcelona,09-10-08
Programador cliente,Barcelona,08-10-08
Programador-a Flash,Barcelona,07-10-08
Full-time Senior Motion Graphics Designer-Animator,Barcelona,13-10-08
Programador-animador Flash,Barcelona,12-10-08
Diseñadores gráficos-web,Barcelona,23-10-08
Programadores Flash-PHP,Barcelona,23-10-08
Programador AS3,Barcelona,21-10-08
Webmaster para el website de una nueva cadena de TV,Barcelona,21-10-08
Programador PHP freelance presencial,Barcelona,20-10-08
Diseñador Gráfico Senior de Packaging,Barcelona,20-10-08
Desarrollador Flash XHTML CSS,Barcelona,20-10-08
Diseñador Packaging (PET),Barcelona,20-10-08
Colaboración para programación y Programador de Moodle,Barcelona,20-10-08
Técnico de sistemas OS X,Barcelona,15-10-08
Arte junior,Barcelona,05-11-08
Copywriter junior,Barcelona,05-11-08
Diseñador de interfaces,Barcelona,04-11-08
Becario en retoque fotográfico con Photoshop,Barcelona,04-11-08
Supervisor de cuentas interactivo (implant),Barcelona,04-11-08
Recepcionista-Office Manager,Barcelona,03-11-08
Director Multimedia,Barcelona,03-11-08
Diseñador Multimedia,Barcelona,03-11-08
Diseñador-maquetador web en Mortensen,Barcelona,31-10-08
Programador PHP y Flash,Barcelona,30-10-08
Diseñador Web Creativo,Barcelona,30-10-08
Colaborador,Barcelona,30-10-08
Motion Graphics freelance,Barcelona,29-10-08
Programador Cliente en DoubleYou,Barcelona,28-10-08
Maquetador Web,Barcelona,27-10-08
Ampliar red de colaboradores,Barcelona,27-10-08
Director de Arte-Responsable Creativo puntocom,Barcelona,13-11-08
Prácticas de Marketing online y contrato por suplencia poster...,Barcelona,13-11-08
Maquetador Web,Barcelona,12-11-08
Dirección Creativa,Barcelona,07-11-08
Diseñador-maquetador web en Mortensen,Barcelona,06-11-08
Diseñador-maquetador web en Mortensen,Barcelona,18-11-08
Programador PHP-ASP,Barcelona,18-11-08
Diseñador freelance,Barcelona,18-11-08
Diseñador-a Multimedia,Barcelona,17-11-08
Diseñador Multimedia,Barcelona,05-12-08
Maquetador Flash,Barcelona,05-12-08
Copy mixto: online (75%) offline (25%),Barcelona,04-12-08
Desarrollador Flash programación back-end,Barcelona,04-12-08
Programador ASP,Barcelona,03-12-08
Vacante departamento de producción web,Barcelona,03-12-08
Perfiles en Publicidad y Diseño,Barcelona,21-11-08
Flasheros,Barcelona,21-11-08
Diseñador Gráfico,Barcelona,20-11-08
Diseñador junior multimedia,Barcelona,07-01-09
Freelance Diseño Web,Barcelona,30-12-08
Se busca Desarrollador Web,Barcelona,22-12-08
Programador PHP Senior,Barcelona,19-12-08
Diseñador multimedia para Pavlov,Barcelona,19-01-09
Supervisor de Cuentas o Ejecutivo de Cuentas con experiencia,Barcelona,19-01-09
Programador front-end Flash,Barcelona,19-01-09
Motion graphic designer. Freelances,Barcelona,17-01-09
Motion graphic designer,Barcelona,17-01-09
Producer,Barcelona,16-01-09
Postprodutor-a de fotografía,Barcelona,16-01-09
Front-end Developer (Senior),Barcelona,15-01-09
Programador PHP+MySQL,Barcelona,14-01-09
Programador (LAMP) PHP MySQL,Barcelona,06-02-09
Desarrollador Flash,Barcelona,06-02-09
Front-end-Flash developer,Barcelona,05-02-09
Desarrollador Web,Barcelona,05-02-09
Empresas externas para desarrollo de sites en Barcelona,Barcelona,02-02-09
Webmaster,Barcelona,02-02-09
Programador Actionscript,Barcelona,30-01-09
Comercial para venta de espacios publicitarios,Barcelona,30-01-09
Freelance Creatives,Barcelona,28-01-09
Office Manager FT-PT,Barcelona,28-01-09
Animador 3D Max,Barcelona,28-01-09
Ejecutivo-a de cuentas junior. Barcelona,Barcelona,27-01-09
Desarrollador Flash AS2-AS3,Barcelona,26-01-09
Programador LAMP,Barcelona,22-01-09
Programador Interactivo como Becario,Barcelona,21-01-09
Diseñador Flash,Barcelona,25-02-09
Animadores Flash,Barcelona,24-02-09
Diseñador Flash XML,Barcelona,23-02-09
Senior Creative Head of Creative,Barcelona,20-02-09
Becario en Diseño Gráfico- Web,Barcelona,19-02-09
Diseñador Gráfico Junior,Barcelona,19-02-09
Diseñador Web Senior,Barcelona,19-02-09
Diseñador-Programador Web,Barcelona,19-02-09
Programador Creativo Senior Flash Actionscript 2-3 (No freela...,Barcelona,17-02-09
Colaborador de Tipografía para dar clase en Barcelona,Barcelona,16-02-09
Asesor para montar un croma(Oferta cerrada),Barcelona,09-02-09
Diseñador Web,Barcelona,16-03-09
Director-a de Arte multidisciplinar (Gráfico & Multimedia),Barcelona,13-03-09
Programador-Diseñador web,Barcelona,06-03-09
Analista Programador de Webs,Barcelona,05-03-09
Diseñador y editor de Motion Graphics,Barcelona,31-03-09
Programador Flash-MySQL con PHP,Barcelona,30-03-09
Productor-a ejecutivo para agencia de fotografía,Barcelona,26-03-09
Programador Web,Barcelona,25-03-09
Diseñador Web,Barcelona,25-03-09
Socio-a productor ejecutivo para agencia de fotografía,Barcelona,24-03-09
Maquetador editorial,Barcelona,23-03-09
Buscamos SEO Junior,Barcelona,23-03-09
Programador PHP Senior,Barcelona,23-03-09
Programador en PHP,Barcelona,23-03-09
Freelance developer PHP MySQL Java JQuery CSS,Barcelona,19-03-09
Diseñador web,Barcelona,18-03-09
Profesional con conocimientos de Wordpress,Barcelona,16-04-09
Flash Developer Programmer and Designer,Barcelona,15-04-09
Prácticas en Diseño-Maquetación HTML,Barcelona,14-04-09
Diseñador Gráfico,Barcelona,14-04-09
Diseñador Web,Barcelona,08-04-09
Internship Online Marketing,Barcelona,08-04-09
Diseño y desarrollo de web,Barcelona,07-04-09
Programador PHP,Barcelona,06-04-09
Account Manager autónomo,Barcelona,02-04-09
Frontend developer (XHTML-CSS-JS),Barcelona,05-05-09
Programador Freelance AS3,Barcelona,05-05-09
Senior Interactive Designer-Art Director,Barcelona,05-05-09
Diseñador Gráfico Junior,Barcelona,04-05-09
Project Manager de división interactiva,Barcelona,27-04-09
Diseñador Web,Barcelona,22-04-09
Maquetadores profesionales autónomos,Barcelona,22-04-09
Animador Flash motion graphic designer o similar,Barcelona,27-05-09
Programador PHP+JS+AJAX,Barcelona,25-05-09
Front-end Developer,Barcelona,25-05-09
Maquetador web,Barcelona,21-05-09
