ciudad,ofertas,cantidad
Madrid,7467,36.62
Barcelona,5660,27.76
En remoto,1497,7.34
Valencia,693,3.39
Sevilla,209,1.02
Sant Cugat del Vallès,189,0.92
Alcobendas,187,0.91
Las Rozas,176,0.86
Málaga,138,0.67
Pozuelo de Alarcón,120,0.58
Murcia,118,0.57
Granada,89,0.43
Zaragoza,84,0.41
Bilbo,81,0.39
Palma,75,0.36
A Coruña,63,0.30
Bilbao,62,0.30
Alacant,62,0.30
San Sebastián de los Reyes,60,0.29
Sabadell,57,0.27
Tordera,56,0.27
Ciudad de México,55,0.26
Mataró,54,0.26
Marbella,53,0.25
Elche,53,0.25
Granollers,52,0.25
Badalona,51,0.25
Valladolid,50,0.24
Santander,47,0.23
Vigo,44,0.21
