ciudad,total
Barcelona,5124
Madrid,6742
En remoto,1256
Pozuelo de Alarcón,102
Bilbao,120
Las Rozas,152
Sant Cugat del Vallès,151
Alcobendas,157
Sevilla,183
Valencia,627
Paterna,24
Sabadell,52
Villarreal,16
Marbella,38
Ciudad de México,47
Granada,80
Valladolid,45
La Coruña,25
Elche,46
Fuenlabrada,16
El Prat de Llobregat,21
Tarrasa,16
Santander,41
Málaga,123
Cuart de Poblet,13
Leganés,22
Getafe,20
Cornellà de Llobregat,23
Cerdanyola,12
Santa Cruz de Tenerife,24
Palma de Mallorca,35
Zaragoza,81
Manresa,22
Torrelodones,13
Granollers,47
Badalona,41
Jerez de la Frontera,17
Alcorcón,25
Rivas-Vaciamadrid,19
Murcia,105
Orense,19
Majadahonda,13
Lérida,14
Mairena del Aljarafe,13
Las Palmas de Gran Canaria,21
Gerona,21
Alcalá de Henares,31
Mataró,46
Canet de Mar,15
Palau de Plegamans,13
Hospitalet de Llobregat,11
Santiago de Compostela,22
Tordera,53
San Sebastián de los Reyes,52
Vigo,39
Toledo,13
Sitges,34
Ibiza,18
Gijón,33
Lugo,13
Londres,34
Cádiz,11
Ames,11
Córdoba,27
Boadilla del Monte,23
Castellón de la Plana,22
Tres Cantos,20
Móstoles,12
Vitoria-Gasteiz,17
Tarragona,12
Sant Just Desvern,13
Oviedo,19
L'Hospitalet de Llobregat,15
Logroño,17
Igualada,12
Terrassa,25
Ámsterdam,14
Berlín,26
A Coruña,63
Palma,74
Alacant,95
Donostia,40
Buenos Aires,30
Castelldefels,12
Hamburgo,11
Garland,12
Lake Forest,12
