puesto,ciudad,fecha
Diseñadores-maquetadores,Madrid,10-10-08
Diseñador Gráfico Maquetador Web,Madrid,09-10-08
Diseñador-Programador Web,Barcelona,09-10-08
Diseñadores web freelance,En remoto,08-10-08
Programador-a diseñador-a web,En remoto,07-10-08
Grey busca diseñador-a web,Madrid,07-10-08
Diseñador web becario,Madrid,07-10-08
Diseñador web para crear página de venta por internet,Indiferente,13-10-08
Diseñador-a gráfico-a freelance,Badalona,11-10-08
Diseñadores gráficos-web,Barcelona,23-10-08
Se necesita Diseñador gráfico y web,Madrid,22-10-08
Diseñador-maquetador Flash,Boadilla del Monte,21-10-08
Diseñador Gráfico Senior de Packaging,Barcelona,20-10-08
Diseñador Packaging (PET),Barcelona,20-10-08
Diseñadores muy creativos (y divertidos),Madrid,17-10-08
Diseñador gráfico freelance,Alcalá de Henares,16-10-08
Creativo-Diseñador gráfico,Madrid,15-10-08
Diseñador Freelance,Madrid,14-10-08
Diseñador web en Salamanca,Salamanca,04-11-08
Diseñador de interfaces,Barcelona,04-11-08
Diseñador Multimedia,Barcelona,03-11-08
Diseñador-maquetador web en Mortensen,Barcelona,31-10-08
Diseñador Web Creativo,Barcelona,30-10-08
Maquetador-Diseñador,Madrid,29-10-08
Maquetador-Diseñador web,En remoto,14-11-08
Diseñador-Desarrollador web,Madrid,11-11-08
Diseñador web creativo,Madrid,11-11-08
Diseñador animador senior,Buenos Aires,10-11-08
Diseñador-maquetador web en Mortensen,Barcelona,06-11-08
Diseñador-Programador web,Granada,18-11-08
Diseñador-maquetador web en Mortensen,Barcelona,18-11-08
Diseñador freelance,Barcelona,18-11-08
Director de Arte-Diseñador Gráfico-Maquetador,Madrid,17-11-08
Diseñador-a Multimedia,Barcelona,17-11-08
Diseñador-a Gráfico y Web,Alcobendas,05-12-08
Diseñador Multimedia,Barcelona,05-12-08
Desarrollador-Diseñador web ,Granada,05-12-08
Se busca diseñador de pixel art para MMO,En remoto,27-11-08
Diseñador Creativo,Madrid,27-11-08
