fecha,total
01-oct-08,11
01-nov-08,4
01-dec-08,5
01-jan-09,7
01-feb-09,9
01-mar-09,4
01-apr-09,7
01-may-09,6
01-jun-09,5
01-jul-09,7
01-aug-09,3
01-sep-09,5
01-oct-09,3
01-nov-09,7
01-dec-09,6
01-jan-10,6
01-feb-10,8
01-mar-10,8
01-apr-10,10
01-may-10,9
01-jun-10,6
01-jul-10,5
01-aug-10,4
01-sep-10,18
01-oct-10,14
01-nov-10,5
01-dec-10,9
01-jan-11,7
01-feb-11,9
01-mar-11,7
01-apr-11,7
01-may-11,5
01-jun-11,8
01-jul-11,7
01-aug-11,3
01-sep-11,4
01-oct-11,5
01-nov-11,8
01-dec-11,1
01-jan-12,4
01-feb-12,2
01-mar-12,4
01-apr-12,3
01-may-12,2
01-jun-12,2
01-jul-12,1
01-aug-12,1
01-sep-12,1
01-oct-12,1
01-nov-12,1
01-dec-12,2
01-jan-13,1
01-feb-13,1
01-mar-13,0
01-apr-13,0
01-may-13,0
01-jun-13,0
01-jul-13,3
01-aug-13,0
01-sep-13,4
01-oct-13,0
01-nov-13,0
01-dec-13,2
01-jan-14,1
01-feb-14,2
01-mar-14,0
01-apr-14,0
01-may-14,1
01-jun-14,0
01-jul-14,0
01-aug-14,0
01-sep-14,1
01-oct-14,2
01-nov-14,2
01-dec-14,1
01-jan-15,1
01-feb-15,0
01-mar-15,1
01-apr-15,0
01-may-15,1
01-jun-15,1
01-jul-15,0
01-aug-15,0
01-sep-15,1
01-oct-15,0
01-nov-15,1
01-dec-15,0
01-jan-16,0
01-feb-16,2
01-mar-16,1
01-apr-16,0
01-may-16,0
01-jun-16,0
01-jul-16,0
01-aug-16,0
01-sep-16,1
01-oct-16,0
01-nov-16,0
01-dec-16,0
01-jan-17,1
01-feb-17,0
01-mar-17,0
01-apr-17,0
01-may-17,0
01-jun-17,0
01-jul-17,0
01-aug-17,0
01-sep-17,0
01-oct-17,0
01-nov-17,0
01-dec-17,0
01-jan-18,0
01-feb-18,1
01-mar-18,0
01-apr-18,0
01-may-18,0
01-jun-18,1
01-jul-18,0
01-aug-18,0
01-sep-18,0
01-oct-18,0
01-nov-18,0
01-dec-18,1
01-jan-19,0
01-feb-19,0
01-mar-19,0
01-apr-19,0
01-may-19,0
