puesto,fecha,cantidad
diseñador,01-oct-08,21
diseñador,01-nov-08,18
diseñador,01-dec-08,7
diseñador,01-jan-09,9
diseñador,01-feb-09,13
diseñador,01-mar-09,18
diseñador,01-apr-09,13
diseñador,01-may-09,7
diseñador,01-jun-09,13
diseñador,01-jul-09,21
diseñador,01-aug-09,10
diseñador,01-sep-09,16
diseñador,01-oct-09,14
diseñador,01-nov-09,12
diseñador,01-dec-09,20
diseñador,01-jan-10,14
diseñador,01-feb-10,20
diseñador,01-mar-10,30
diseñador,01-apr-10,26
diseñador,01-may-10,26
diseñador,01-jun-10,18
diseñador,01-jul-10,18
diseñador,01-aug-10,12
diseñador,01-sep-10,28
diseñador,01-oct-10,23
diseñador,01-nov-10,29
diseñador,01-dec-10,27
diseñador,01-jan-11,27
diseñador,01-feb-11,22
diseñador,01-mar-11,44
diseñador,01-apr-11,33
diseñador,01-may-11,43
diseñador,01-jun-11,51
diseñador,01-jul-11,26
diseñador,01-aug-11,16
diseñador,01-sep-11,41
diseñador,01-oct-11,40
diseñador,01-nov-11,35
diseñador,01-dec-11,23
diseñador,01-jan-12,20
diseñador,01-feb-12,22
diseñador,01-mar-12,36
diseñador,01-apr-12,23
diseñador,01-may-12,25
diseñador,01-jun-12,15
diseñador,01-jul-12,18
diseñador,01-aug-12,14
diseñador,01-sep-12,25
diseñador,01-oct-12,10
diseñador,01-nov-12,15
diseñador,01-dec-12,12
diseñador,01-jan-13,22
diseñador,01-feb-13,17
diseñador,01-mar-13,18
diseñador,01-apr-13,24
diseñador,01-may-13,14
diseñador,01-jun-13,23
diseñador,01-jul-13,19
diseñador,01-aug-13,12
diseñador,01-sep-13,19
diseñador,01-oct-13,14
diseñador,01-nov-13,30
diseñador,01-dec-13,16
diseñador,01-jan-14,16
diseñador,01-feb-14,20
diseñador,01-mar-14,24
diseñador,01-apr-14,33
diseñador,01-may-14,14
diseñador,01-jun-14,22
diseñador,01-jul-14,25
diseñador,01-aug-14,14
diseñador,01-sep-14,23
diseñador,01-oct-14,13
diseñador,01-nov-14,24
diseñador,01-dec-14,18
diseñador,01-jan-15,25
diseñador,01-feb-15,22
diseñador,01-mar-15,30
diseñador,01-apr-15,30
diseñador,01-may-15,30
diseñador,01-jun-15,31
diseñador,01-jul-15,20
diseñador,01-aug-15,14
diseñador,01-sep-15,37
diseñador,01-oct-15,34
diseñador,01-nov-15,40
diseñador,01-dec-15,22
diseñador,01-jan-16,31
diseñador,01-feb-16,39
diseñador,01-mar-16,26
diseñador,01-apr-16,30
diseñador,01-may-16,25
diseñador,01-jun-16,26
diseñador,01-jul-16,31
diseñador,01-aug-16,28
diseñador,01-sep-16,44
diseñador,01-oct-16,41
diseñador,01-nov-16,40
diseñador,01-dec-16,42
diseñador,01-jan-17,40
diseñador,01-feb-17,41
diseñador,01-mar-17,54
diseñador,01-apr-17,44
diseñador,01-may-17,52
diseñador,01-jun-17,40
diseñador,01-jul-17,38
diseñador,01-aug-17,31
diseñador,01-sep-17,53
diseñador,01-oct-17,48
diseñador,01-nov-17,54
diseñador,01-dec-17,38
diseñador,01-jan-18,81
diseñador,01-feb-18,38
programador,01-oct-08,23
programador,01-nov-08,12
programador,01-dec-08,13
programador,01-jan-09,13
programador,01-feb-09,13
programador,01-mar-09,15
programador,01-apr-09,9
programador,01-may-09,10
programador,01-jun-09,19
programador,01-jul-09,13
programador,01-aug-09,7
programador,01-sep-09,13
programador,01-oct-09,14
programador,01-nov-09,21
programador,01-dec-09,20
programador,01-jan-10,28
programador,01-feb-10,35
programador,01-mar-10,24
programador,01-apr-10,33
programador,01-may-10,25
programador,01-jun-10,36
programador,01-jul-10,25
programador,01-aug-10,19
programador,01-sep-10,46
programador,01-oct-10,42
programador,01-nov-10,38
programador,01-dec-10,36
programador,01-jan-11,40
programador,01-feb-11,42
programador,01-mar-11,54
programador,01-apr-11,41
programador,01-may-11,41
programador,01-jun-11,47
programador,01-jul-11,43
programador,01-aug-11,27
programador,01-sep-11,54
programador,01-oct-11,43
programador,01-nov-11,61
programador,01-dec-11,34
programador,01-jan-12,43
programador,01-feb-12,53
programador,01-mar-12,40
programador,01-apr-12,42
programador,01-may-12,49
programador,01-jun-12,23
programador,01-jul-12,14
programador,01-aug-12,16
programador,01-sep-12,22
programador,01-oct-12,24
programador,01-nov-12,26
programador,01-dec-12,11
programador,01-jan-13,26
programador,01-feb-13,24
programador,01-mar-13,23
programador,01-apr-13,20
programador,01-may-13,16
programador,01-jun-13,26
programador,01-jul-13,24
programador,01-aug-13,10
programador,01-sep-13,21
programador,01-oct-13,12
programador,01-nov-13,28
programador,01-dec-13,27
programador,01-jan-14,35
programador,01-feb-14,33
programador,01-mar-14,29
programador,01-apr-14,21
programador,01-may-14,22
programador,01-jun-14,18
programador,01-jul-14,19
programador,01-aug-14,12
programador,01-sep-14,28
programador,01-oct-14,31
programador,01-nov-14,27
programador,01-dec-14,14
programador,01-jan-15,27
programador,01-feb-15,25
programador,01-mar-15,38
programador,01-apr-15,28
programador,01-may-15,13
programador,01-jun-15,20
programador,01-jul-15,32
programador,01-aug-15,8
programador,01-sep-15,29
programador,01-oct-15,20
programador,01-nov-15,33
programador,01-dec-15,20
programador,01-jan-16,27
programador,01-feb-16,46
programador,01-mar-16,40
programador,01-apr-16,30
programador,01-may-16,19
programador,01-jun-16,22
programador,01-jul-16,27
programador,01-aug-16,23
programador,01-sep-16,33
programador,01-oct-16,23
programador,01-nov-16,26
programador,01-dec-16,23
programador,01-jan-17,32
programador,01-feb-17,41
programador,01-mar-17,34
programador,01-apr-17,21
programador,01-may-17,21
programador,01-jun-17,31
programador,01-jul-17,21
programador,01-aug-17,22
programador,01-sep-17,26
programador,01-oct-17,27
programador,01-nov-17,42
programador,01-dec-17,24
programador,01-jan-18,30
programador,01-feb-18,10
marketing,01-oct-08,0
marketing,01-nov-08,1
marketing,01-dec-08,0
marketing,01-jan-09,0
marketing,01-feb-09,0
marketing,01-mar-09,0
marketing,01-apr-09,1
marketing,01-may-09,1
marketing,01-jun-09,1
marketing,01-jul-09,0
marketing,01-aug-09,0
marketing,01-sep-09,2
marketing,01-oct-09,1
marketing,01-nov-09,2
marketing,01-dec-09,2
marketing,01-jan-10,3
marketing,01-feb-10,5
marketing,01-mar-10,3
marketing,01-apr-10,3
marketing,01-may-10,1
marketing,01-jun-10,2
marketing,01-jul-10,3
marketing,01-aug-10,2
marketing,01-sep-10,6
marketing,01-oct-10,3
marketing,01-nov-10,3
marketing,01-dec-10,4
marketing,01-jan-11,9
marketing,01-feb-11,3
marketing,01-mar-11,5
marketing,01-apr-11,7
