puesto,ciudad,fecha
Programador web,Santiago de Compostela,21/11/08
Programador web,Barcelona,21/03/11
Programador/ director técnico,Barcelona,21/09/11
Programador con conocimientos de C# y/o C++.,Premià de Dalt,18/03/15
Programador/a Android,Madrid,15/07/16
Diseñadora Programador WEB con conocimientos SEO SEM,Barcelona,04/07/11
Programador/maquetador web,Barcelona,24/03/15
Experto Digital Programador Frontend,Madrid,07/03/17
Programador Web Magento,Madrid,10/03/14
Programador en PHP y MySQL,Madrid,23/02/17
Programador Web,Vic,23/01/17
Programador senior proyecto puntual.,Wherever,08/07/11
Programador para una aplicación de facebook,indiferente,13/03/12
Analista Programador NACAR,Madrid,03/06/11
Programador(a) 3D en Unity,Igualada,02/07/13
Programador node js,Barcelona,26/02/13
Programador Flash Senior,Barcelona,11/05/10
Programador freelance para edición digital de epub kf8 y fixe...,Alacant,05/03/13
Programador Web,Puebla de Vallbona,28/09/11
Programador freelance para aplicación Facebook,En remoto,15/11/10
Programador en Ruby, Ruby on Rails y Perl,Barcelona
Programador Front-end multimedia,En remoto,15/09/11
Programadores Junior JAVA/.NET-Contrato indefinido/CRM Siebel,Barcelona,09/02/15
Maquetador / Programador Front,Madrid,16/07/14
Programador (Flashero) Arte finalista online,Madrid,28/11/11
Programador Php Avanzado .,Valencia,20/04/11
Programador especialista en Wordpress,Madrid,18/04/16
Programador para interactivo 3d en Unity,Palma,25/01/11
Programador Back end,Madrid,21/11/14
Programador OpenCMS Bilbao,Bilbo,04/05/11
Programador PHP ( social engine ),Barcelona,04/07/12
Programador interactivo,Barcelona,24/02/11
Programador PHP con experiencia,Zaragoza,08/04/15
Programador HTML y PHP,Madrid,28/10/08
Analista Programador/Programador ASP .NET,Madrid,21/01/16
Programador / analista / consultor ecommerce Magento-Cinetic,Manresa,18/11/11
Programador,Barcelona,16/10/13
Programador Front Senior,Madrid,15/03/10
Diseñador web programador php,Valencia,24/08/11
Programador de ActionScript junior,Madrid,09/11/09
Programador PHP+MySQL,Barcelona,14/01/09
Diseñador Programador Flash,Sevilla,25/09/13
Programador PHP,Jerez de la Frontera,08/04/13
Analista Programador Drupal / Ubercart,Madrid,04/10/13
Programador / Maquetador Freelance,Madrid,08/09/14
Programador Back End .NET,Madrid,10/08/16
Programador freelance Wordpress Woocommerce,Barcelona,20/07/15
Programador Aplicaciones iPhone/Android/BlackBerry,Barcelona,05/09/11
Programador Web,Madrid,23/04/10
Programador PHP, MySQL, Jquery MADRID
Desarrollador / Programador web Junior,La Coruña,10/10/16
Programador Marketing Online,Barcelona,14/01/11
Programadores Senior .Net,Madrid,18/05/16
Programador iOS,Aranjuez,22/08/13
