puesto,ciudad,fecha
Diseñadores web freelance,En remoto,08-10-08
Programador-a diseñador-a web,En remoto,07-10-08
Programador web,En remoto,14-10-08
Programador AS-PHP freelance,En remoto,23-10-08
Ya tenemos creyentes,En remoto,17-10-08
Desarrollo Web con Drupal,En remoto,05-11-08
Maquetador-Diseñador web,En remoto,14-11-08
Flashero freelance,En remoto,10-11-08
Programador y desarrollador web PHP y MySQL,En remoto,09-12-08
Desarrollo de red social,En remoto,02-12-08
Se busca diseñador de pixel art para MMO,En remoto,27-11-08
3D View Point Media,En remoto,04-01-09
Catálogo de productos en una web,En remoto,12-12-08
Arte con experiencia,En remoto,19-01-09
Diseñador gráfico,En remoto,19-02-09
Maquetador de Wordpress,En remoto,18-02-09
Programador web freelance,En remoto,16-02-09
Programador ASP.NET,En remoto,09-02-09
Programador Flash Scorm,En remoto,09-02-09
Desarrollador de aplicaciones para iPhone,En remoto,14-04-09
Comercial autónomo,En remoto,31-03-09
Maquetador XHTML-CSS,En remoto,16-04-09
Comercial-Ejecutivo de cuentas freelance,En remoto,09-06-09
Diseñador Web,En remoto,28-05-09
Programador ASP.NET Freelance,En remoto,25-06-09
Programadores PHP-ASP,En remoto,24-06-09
Director Artístico-Diseñador Senior,En remoto,17-06-09
Director de arte para proyecto web distinto-Art director for ...,En remoto,12-07-09
Diseñador Web ,En remoto,07-07-09
Programador PHP 5,En remoto,22-07-09
Programador Web y-o Diseñador,En remoto,14-07-09
SEO,En remoto,08-08-09
Programador Wordpress,En remoto,08-08-09
Diseñador Web ,En remoto,08-08-09
Diseñador Web-Creativo freelance,En remoto,04-09-09
Programador PHP-MySQL freelance,En remoto,04-09-09
Desarrollador Symfony freelance,En remoto,03-09-09
Guionista para serie de TV,En remoto,31-08-09
Especialista en motor,En remoto,18-09-09
Diseñador-programador web freelance,En remoto,07-09-09
Programador Web,En remoto,01-10-09
Drupal coder,En remoto,23-09-09
Programador web en Joomla,En remoto,22-09-09
Ingenieros de desarrollo iPhone Android y Blackberry,En remoto,09-10-09
Profesionales de la comunicación,En remoto,09-10-09
Representante-socio para estudio argentino,En remoto,08-10-09
Diseñador Web ,En remoto,07-10-09
Programador web freelance (plantilla Wordpress),En remoto,07-10-09
Programadores Flash,En remoto,02-10-09
Maquetador HTML-CSS freelance,En remoto,02-10-09
Profesores de Animación Web,En remoto,14-10-09
Profesores de Diseño y Maquetación Web,En remoto,14-10-09
Comercial en diseño,En remoto,03-11-09
Comercial freelance,En remoto,17-11-09
Representante comercial,En remoto,26-11-09
Programador Flash. AS3. ALivePDF,En remoto,27-12-09
Modelador 3D,En remoto,14-01-10
Programador de Joomla!,En remoto,14-01-10
Programador Web freelance,En remoto,20-01-10
Programador-Animador Flash freelance,En remoto,06-02-10
Excellent UX-Web Designer,En remoto,04-02-10
Comercial,En remoto,31-01-10
Programador informático freelance,En remoto,06-02-10
Comercial sin vocación de tiburón-na,En remoto,10-03-10
Maquetador Web (CMS),En remoto,08-03-10
Activismo gráfico,En remoto,07-03-10
Editor Operador de Postproducción-Motion Graphics (2D-3D),En remoto,06-03-10
Great UX-UI Designer,En remoto,04-03-10
Representante para estudio de diseño,En remoto,02-03-10
Diseñador Gráfico Junior,En remoto,16-03-10
Diseñador Gráfico-Ilustrador freelance,En remoto,24-03-10
Creativos,En remoto,22-03-10
Representación o aliado estratégico en España,En remoto,18-03-10
Pasar web Flash a Joomla!,En remoto,05-04-10
Senior Developers freelance,En remoto,26-03-10
