puesto,ciudad,fecha
Senior UX freelance,Madrid,27/01/11
Diseñador web (UX/UI),Madrid,04/11/13
UX DESIGNER AT MULTINATIONAL CONSULTING COMPANY,Alacant,15/02/12
Diseñador de Interacción Senior UX Freelance,Madrid,11/06/13
System Administrator Linux Barcelona,Barcelona,19/03/15
UX/UI and motion designer,Nom Pen,30/11/15
Diseñadores interacción y visual (UX),Madrid,14/05/12
UI/UX Designer,Madrid,31/10/14
Diseño UI / UX para Web y Apps,Ávila,27/10/15
Diseñador UX/UI mobile&web,Barcelona,09/03/17
Senior UX/UI Designers,Madrid,09/02/15
Diseñador Senior interacción / UX,Madrid,05/07/16
Diseñador UX,En remoto,24/11/16
UX/UI Backend Designer,Barcelona,15/02/15
Senior UX Designer,Madrid,21/11/16
Experto en servidores Linux,Barcelona,13/02/11
Consultor UX Senior,Madrid,16/11/11
Diseñador  UX/UI,Madrid,21/12/15
UI/UX Designer,En remoto,07/02/17
AUXILIAR POSTPRODUCCIÓN AFTER EFFECTS,Santiago de Compostela,20/12/10
Diseñador UX/UI,Madrid,10/06/15
Junior UI / UX Designer,Barcelona,23/05/16
UX / UI Designer,Madrid,05/11/13
Diseñador Visual senior UX/UI,Madrid,27/10/15
UX/UI Mobile Designer,Sevilla,01/08/16
UI/UX designer for mobile &amp; web,San Pedro, Filipinas
Diseñador web UI UX,Bilbo,09/06/16
Diseñador UI/UX,Madrid,27/05/14
Diseñador UX/UI,indiferente,11/08/13
Experto UX,Zamudio,11/10/16
UX Specialist,Sevilla,11/04/16
Diseñador gráfico/UI/UX,Leganés,07/08/14
UX/UI Designer,Barcelona,04/06/12
UX Designer,Barcelona,14/10/16
Director de Arte y UX,Madrid,19/12/16
UI/UX Designer for mobile and desktop apps,Barcelona,03/09/15
(UK) Consultor CX/UX/UI Designer,Madrid,06/07/15
UI/UX Designer Digital,Madrid,07/09/16
Diseñadores UX/UI Freelance,En remoto,12/04/16
Auxiliar: Comercial y TeleMarketing  (sector Internet),Móstoles,05/10/12
Sr. Graphic UX Designer,Barcelona,06/05/14
UX/UI Junior Web Designer,Barcelona,07/01/15
Diseñador Visual UI/UX Senior,Madrid,07/04/16
UX Designer,Barcelona,09/11/16
Junior UI/UX Designer,Barcelona,22/09/16
Senior IxD/UX designer,Madrid,14/04/16
Diseñador UX Jr,Vigo,29/06/16
UX/UI Mobile designer,Barcelona,13/04/16
Diseñador UX / Programador Front-End,Barcelona,03/09/14
Diseñador UX,Madrid,05/07/16
UX Designer,Madrid,28/06/16
Ux junior,Barcelona,17/03/15
UX  Manager,Madrid,25/11/15
Diseñador Senior UX/UI / Senior Designer UX/UI,Pozuelo de Alarcón,10/03/17
Diseñador maquetador web UI/UX,Sevilla,17/04/15
Prácticas en empresa para Soporte y Testing. (Linux),Madrid,30/01/13
Design UX,Bilbo,06/03/14
Arquitecto Linux y Dockers,Madrid,22/06/16
Diseñador Mobile UX/UI,Madrid,03/02/14
Diseñador/a UX (Freelance),Madrid,03/06/14
Programador senior PHP Sistemas Linux,Madrid,19/08/10
DISEÑADOR UX / MAQUETADOR,Madrid,30/10/12
UX / IU Designer,Barcelona,14/04/15
UI/UX Designer /  Creativo,Madrid,25/04/16
Diseñador UX Junior,Madrid,05/07/16
Frontend developer JS/UX,Barcelona,15/11/16
Excellent UX/Web Designer,En remoto,04/02/10
Senior UX Design Lead,Barcelona,10/03/17
Diseñador UI/UX Mobile,Madrid,09/07/13
Senior Mobile Designer & UX/UI Web,Madrid,21/10/14
Senior UI/UX Designer,Mgarr, Malta
UX Designer/Researcher,Barcelona,03/05/16
Front-end / Mobile / UX,Llinars del Vallès,20/03/15
UX/UI Designer (Temporary role),Barcelona,01/02/17
Diseñador/a UX/AI,Barcelona,21/11/16
Diseñador Ux Senior,Madrid,26/01/12
Responsable de Arte y Maquetador Web UI/UX,Madrid,17/11/16
UX/UI Mobile Designer,Barcelona,23/12/15
UX Designer,Barcelona,05/01/16
Consultor UX/ Diseñador Gráfico,Barcelona,14/04/16
Diseñador UI UX y Maquetador Web,Zaragoza,10/03/16
UX Senior Consultant,Sant Cugat del Vallès,05/11/14
UX Designer-HAVAS MEDIA,Madrid,08/02/12
Diseñador UX/UI Senior,Madrid,15/07/16
UI & UX App Designer,Madrid,03/03/16
UX / IA Designer,Madrid,10/10/13
Experto en Experiencia de Usuario (UX),Barcelona,07/10/14
PROGRAMADOR PHP MYSQL LINUX,Madrid,25/01/11
