Puesto,Ciudad,Fecha
Senior UX freelance,"Madrid, España",27/01/11
Programador web,"Santiago de Compostela, España",21/11/08
Diseñador gráfico senior (NO FREELANCE),"Madrid, España",10/05/12
Maquetadores HTML/CSS,"Madrid, España",16/07/09
Developer freelance (Android / iOS),"Les Useres, España",09/03/15
Operations Project Manager,"Palma, España",27/10/15
Desarrollador PHP,"Alicante, España",25/01/17
Diseñador Gráfico Becario/Prácticas en Empresa de Comunicació...,"Barcelona, España",19/12/12
Becario Departamento de Redacción,"Cerdanyola, España",16/11/15
Programador web,"Barcelona, España",21/03/11
Bi-Microstrategy Analyst,"Madrid, España",20/06/16
Programador/ director técnico,"Barcelona, España",21/09/11
Diseñador web (UX/UI),"Madrid, España",04/11/13
Responsable de Comunicación Online,"Madrid, España",13/04/12
Becario/a diseño gráfico Barcelona,"Barcelona, España",06/05/11
VFX Artist,"Barcelona, España",21/07/15
Director de arte freelance presencial,"Barcelona, España",08/05/13
Diseñador Gráfico,"Bogotá, Colombia",11/11/09
Becari@ Freelance  |  Diseño grafico,"Barcelona, España",12/04/11
Becario/a Departamento de Cuentas,"Madrid, España",01/10/15
Programador con conocimientos de C# y/o C++.,"Premià de Dalt, España",18/03/15
Diseñador Junior,"Madrid, España",03/06/16
Diseñador Gráfico,"Barcelona, España",22/02/13
Assistant Departamento de Diseño,"Madrid, España",28/12/15
Becario Departamento IT,"Madrid, España",25/10/12
Diseñador Gráfico Web,"Valencia, España",07/03/17
Caricaturista digital,"Madrid, España",04/01/11
edición/postproducción,"Barcelona, España",09/02/11
FrontEnd developer,"Barcelona, España",09/09/15
Business Intelligence & Data Mining,"Barcelona, España",09/06/16
Desarrollador de aplicaciones móviles  Android y iOS,"Madrid, España",11/01/16
animador 2D Flash y After Effects,"Barcelona, España",10/05/11
Programador/a Android,"Madrid, España",15/07/16
Diseñadora Programador WEB con conocimientos SEO SEM,"Barcelona, España",04/07/11
Asistente de Fotografia y retoque digital en practicas,"Barcelona, España",02/09/10
Programador/maquetador web,"Barcelona, España",24/03/15
Desarrollador Symfony,"Barcelona, España",11/03/14
Experto Digital Programador Frontend,"Madrid, España",07/03/17
Web Developer,"Barcelona, España",15/07/15
Ejecutivo de Cuentas,"Madrid, España",06/03/17
Buscamos a dos compañeros de estudio en Madrid. La Latina.,"Madrid, España",30/10/11
Front-End Developer,"Barcelona, España",23/11/15
Programador Web Magento,"Madrid, España",10/03/14
Diseñador Gráfico Freelance con conocimientos HTML&amp;Flash.,"Madrid, España",27/12/10
Diseñador Gráfico con experiencia en HTML para mailing,"Barcelona, España",07/01/14
Front End Developer (OpenCMS),"Barcelona, España",10/03/15
Online Marketing Analyst,"Palma, España",11/06/13
Programación módulo de prestashop asociado a productos,"Elche, España",04/10/12
Prácticas maquetación y diseño de newsletters,"Barcelona, España",28/05/13
Programador en PHP y MySQL,"Madrid, España",23/02/17
Desarrollador,"Madrid, España",02/08/16
Diseñador Visual/UI,"Madrid, España",18/01/17
UX DESIGNER AT MULTINATIONAL CONSULTING COMPANY,"Alacant, España",15/02/12
Programador Web,"Vic, España",23/01/17
Diseñador Industrial Senior,"Barcelona, España",18/02/16
Diseñador web junior,"Madrid, España",03/12/09
Maquetador freelance para Artes Finales,"Barcelona, España",21/07/10
Artista 2D emprendedor,"Barcelona, España",05/10/10
Comercial autónomo para agencia de comunicación,"Barcelona, España",10/06/09
Copy freelance junior presencial,"Barcelona, España",26/11/13
Desarrollador senior PHP,"Madrid, España",30/09/09
Director de Arte Online,"Madrid, España",14/04/09
Content SEO Researcher,En remoto,04/10/16
Prácticas: Realizacion Digital,"San Fernando de Henares, España",12/02/15
Desarrollador/a Front-end Junior,"Barcelona, España",08/02/17
Profesores animación 3D y videojuegos,"Madrid, España",17/09/13
Desarrollador Magento PHP,"Madrid, España",03/09/14
Supervisor Creativo con perfil de Copy (Freelance),"Madrid, España",28/01/14
Brand & Content Manager,"Barcelona, España",11/04/16
Redactor + Diseñador Trainee (Prácticas),"Valencia, España",01/09/11
Desarrollador Senior iOS,"Valencia, España",12/02/16
Edición y realización video,"Palma, España",19/12/14
Desarrollo Freelance PhoneGap o Titanium,"Madrid, España",17/11/15
Project Manager con experiencia en comercio electrónico,"Madrid, España",24/02/12
Diseñador web para tienda online,Indiferente,17/07/12
Arte con experiencia,En remoto,19/01/09
Beca Diseño Web / Diseño Gráfico,"Móstoles, España",09/05/14
Especialista Digital,"Barcelona, España",08/04/16
CG Artists freelance,Indiferente,03/09/13
Copy Creativo on/off,"Barcelona, España",11/01/16
Maquetador web,"Madrid, España",08/06/09
Becario Asistente en Departamento de Compras,"Barcelona, España",26/12/11
Diseñador/a Gráfico/a,"Parets del Vallès, España",30/01/17
COMERCIAL CON CARTERA PROPIA,"Barcelona, España",14/06/11
Project &amp; Quality Manager,"Barcelona, España",21/06/11
Buscamos creativo (Arte) para Agencia de Publicidad,"Madrid, España",25/04/13
QA Automation Engineer,"Barcelona, España",13/09/16
Técnico de Vídeo,"Madrid, España",12/04/11
Programador senior proyecto puntual.,Wherever,08/07/11
Gestor/a backoffice,"Barcelona, España",06/07/13
Desarrollador Aplicaciones Móviles,"Madrid, España",06/09/10
Director de Proyectos web,"Elda, España",22/08/13
Maquetador Web Freelance,"Málaga, España",29/01/14
Trainee research,"Madrid, España",03/02/15
Programador para una aplicación de facebook,indiferente,13/03/12
Director de arte,"Barcelona, España",08/12/11
Front-end Developer,"Barcelona, España",17/02/17
Animador 3D,"Madrid, España",27/09/10
Gestión Contenidos / COPY!,"Barcelona, España",02/10/13
Dr/a de arte digital senior,"Barcelona, España",06/11/12
Diseñador gráfico y maquetador,"Madrid, España",06/04/13
Diseñador web,"Barcelona, España",23/06/09
Diseñador@,"Pamplona, España",29/03/13
Junior IT,"Barcelona, España",10/10/14
Maquetador Web,"Barcelona, España",10/08/16
Desarrollador de aplicaciones iOS,"Madrid, España",24/11/16
Analista Programador NACAR,"Madrid, España",03/06/11
Sistema de replicación de páginas editables de captura de leads,Indiferente,21/01/14
Analista Web,"Madrid, España",24/04/15
Se necesita diseñador grafico,"Madrid, España",03/02/11
Desarrollador Flash,"Barcelona, España",06/02/09
Search Engine Optimization Campaign Manager,"Barcelona, España",04/01/11
Gestor de Proyectos Web,"Barcelona, España",19/12/11
Diseñador Web y Maquetador,"Sevilla, España",23/05/12
ADMINISTRATIVA TELEFONISTA CON FRANCÉS,"Sitges, España",19/10/11
comerical a comisión,"Barcelona, España",16/11/11
Director de arte especializado en web,"Ciudad de México, México",07/04/09
Diseñadores gráficos/web,"Barcelona, España",23/10/08
Programador(a) 3D en Unity,"Igualada, España",02/07/13
Artistas generalistas de 3D freelance,En remoto,27/04/10
Programador node js,"Barcelona, España",26/02/13
Técnico en Marketing y Comunicación en Madrid,"Madrid, España",01/06/16
azafata,"Madrid, España",22/09/11
Diseñador Flash,En remoto,07/02/11
Creación de una App,"Madrid, España",23/09/15
Desarrollador FrontEnd,"Valencia, España",22/04/13
Diseñador de Moda Senior - Plana,En remoto,25/10/12
Programador Flash Senior,"Barcelona, España",11/05/10
"Diseño Web, Contenidos y Marketing Online.","Madrid, España",15/09/09
Profesor de Impresión 3D,"Madrid, España",15/06/16
Comercial para diseñador gráfico freelance,"Barcelona, España",11/06/15
Diseñador Gráfico y/o de colecciones,"Cali, Colombia",22/01/10
Front-end JavaScript Software Engineer- Elerna,"Utrecht, Países Bajos",13/02/15
Programador freelance para edición digital de epub kf8 y fixe...,"Alacant, España",05/03/13
Programador Web,"Puebla de Vallbona, España",28/09/11
Director/a de Arte,"Barcelona, España",08/04/15
Devops,"Altea, España",28/02/12
Ejecutiva de Cuentas (account manager) Agencia Online (Search...,"Paterna, España",01/07/11
Programador freelance para aplicación Facebook,En remoto,15/11/10
Copy Creativo,"Valencia, España",20/02/17
Animador Flash / Desarrollador web,"Madrid, España",28/03/12
Copy (E-commerce),"Granollers, España",29/11/16
Diseñador/a Gráfico Web,"Hospitalet de Llobregat, España",27/12/16
Community Manager bilingüe Español e Inglés,"Tres Cantos, España",24/05/16
Desarrollador PHP,"Madrid, España",27/09/13
Diseñador de Interacción Senior UX - Freelance,"Madrid, España",11/06/13
Coordinación de Proyectos Digitales,"Madrid, España",22/05/14
Se busca Desarrollador Web,"Barcelona, España",22/12/08
"Programador en Ruby, Ruby on Rails y Perl","Barcelona, España",18/01/10
Programador Front-end multimedia,En remoto,15/09/11
Diseñador gráfico - operador máquina gran formato.,"Madrid, España",09/05/11
System Administrator Linux Barcelona,"Barcelona, España",19/03/15
Programadores Junior JAVA/.NET-Contrato indefinido/CRM Siebel,"Barcelona, España",09/02/15
Senior Developer HTML5/SVG/CSS3 UI Designer,"Málaga, España",13/04/15
Maquetador / Programador Front,"Madrid, España",16/07/14
Profesor de Impresión 3D,"Madrid, España",08/04/16
Arquitecto ATG,"San Sebastián de los Reyes, España",27/05/16
Programador (Flashero) - Arte finalista online,"Madrid, España",28/11/11
Frontend developer,"Barcelona, España",17/06/13
Maquetador CSS Junior,"Madrid, España",02/11/09
Pràctiques copy,"Barcelona, España",03/01/11
UX/UI and motion designer,"Nom Pen, Camboya",30/11/15
Profesor/a particular de indesign e illustrator (asturias),"Oviedo, España",23/03/11
Programador Php Avanzado .,"Valencia, España",20/04/11
Digital Analyst,"La Coruña, España",08/11/16
Director de Arte Online,"Madrid, España",26/09/11
Diseño de plataforma web,"Valencia, España",27/06/12
Programador especialista en Wordpress,"Madrid, España",18/04/16
Diseñador web - Front-End,En remoto,12/12/16
Senior Frontend Developer,"Barcelona, España",14/12/15
Copy / Creativo Freelance,"Madrid, España",18/11/15
Socio para estudio de Diseño Gráfico,"Córdoba, España",01/04/10
Art Director Assistant,"Valencia, España",17/04/15
Development team leader,"Sitges, España",25/09/12
Front-end Developer,"Sant Cugat del Vallès, España",15/12/16
Interactive Designer is needed,"Budapest, Hungría",27/07/11
Diseñador/a Web presencial,"Madrid, España",14/10/13
agente comercial,"Sitges, España",04/04/11
Diseñador gráfico creativo,"Madrid, España",16/09/15
Desarrollador para red social con web y app iOS y iPhone,"Madrid, España",16/04/14
Programador para interactivo 3d en Unity,"Palma, España",25/01/11
Desarrolladores HTML CSS JavaScript,"Madrid, España",20/10/15
Creativo BTL,"Madrid, España",29/11/16
Director/a de Arte,"Barcelona, España",15/09/10
Freelance para proyecto Flash+Papervision 3D urgente,"Madrid, España",12/11/09
Social Media Manager,"Villarreal, España",07/10/16
PHP Developer,"Barcelona, España",06/10/15
Formatting Specialist,"Barcelona, España",18/09/15
Diseñador Gráfico,"Lugo, España",16/09/16
Ingeniero de Análisis y/o Desarrollo en Tecnologías JAVA/J2EE,En remoto,16/05/10
Comercial,En remoto,27/04/11
Art Director for Casual-Social Games  Auckland,"Auckland, Nueva Zelanda",23/08/11
Técnico de Sistemas,"Barcelona, España",17/03/16
diseñador off line,"Madrid, España",22/07/11
Assistant Producer en Barcelona,"Barcelona, España",18/07/13
Desarrollador PHP freelance con conocimientos en CMS,"Madrid, España",18/11/15
Docente de software Solid Works (en inglés),"Madrid, España",07/02/13
Programador Back end,"Madrid, España",21/11/14
Frontend Developer | Wordpress,"Barcelona, España",21/08/15
Diseñador/a Gráfico,"Hospitalet de Llobregat, España",15/02/17
Programador OpenCMS - Bilbao,"Bilbo, España",04/05/11
Programador PHP ( social engine ),"Barcelona, España",04/07/12
Marketing Online Product Manager,"Barcelona, España",18/03/11
Programador interactivo,"Barcelona, España",24/02/11
Diseñador Web en prácticas remunerado,"Barcelona, España",28/07/11
Django developer Barcelona.,"Barcelona, España",11/06/13
Desarrollador Backend Web + App,"Valencia, España",06/03/14
Visual Designer / Web Designer - Valencia,"Valencia, España",24/06/13
Freelance Backend Web Programmer,Not relevant,22/10/14
Creativo/Diseñador gráfico,"Madrid, España",15/10/08
Practicas Diseño,"Barcelona, España",19/10/12
Responsable Desarrollo FrontEnd,"Madrid, España",26/08/10
Programador PHP con experiencia,"Zaragoza, España",08/04/15
Productor/Editor Bilingüe Inglés/Español,"Madrid, España",29/04/16
Director de Desarrollo de Negocio-Lextrend,"Madrid, España",01/12/11
Animador,"Barcelona, España",19/07/09
Programador HTML y PHP,"Madrid, España",28/10/08
Comercial freelance,"Barcelona, España",07/06/16
Digital Graphic Designer-Quito Ecuador,"Quito, Ecuador",01/06/15
Background artist (2D mobile game),Indiferente,25/02/15
Animador freelance,"Madrid, España",18/04/11
Analista Programador/Programador ASP .NET,"Madrid, España",21/01/16
Redactor Jefe,En remoto,14/07/16
"Etalonador/Colorista (Online, Publicidad, Videoclip y Cine)","Barcelona, España",04/12/15
Full Stack Developer-Dashmote,"Ámsterdam, Países Bajos",13/02/15
Programador / analista / consultor ecommerce Magento-Cinetic,"Manresa, España",18/11/11
Sustitución 6 meses departamento interactivo,"Barcelona, España",27/10/10
"Especialista en Facebook, Redes Sociales y portales Inmobilia...","Madrid, España",23/03/16
Gestor de campañas,"Barcelona, España",13/11/09
SEO Manager,"Barcelona, España",15/06/16
Programador,"Barcelona, España",16/10/13
Diseñad@r  On/Off - Maquetad@r,"San Sebastián de los Reyes, España",15/02/16
Copy (perfil periodístico),En remoto,14/07/11
Profesor de diseño y maquetación web,"Barcelona, España",15/09/14
Programador Front Senior,"Madrid, España",15/03/10
Diseñadores interacción y visual (UX),"Madrid, España",14/05/12
Consultor/a SEM/SEO,"Málaga, España",13/12/16
Se busca Realizador - Urgente,"Madrid, España",04/05/12
Desarrollador Back-End CMS Freelance,"Madrid, España",01/09/14
Diseñador web programador php,"Valencia, España",24/08/11
Web Analyst,"Madrid, España",31/07/15
Programador de ActionScript junior,"Madrid, España",09/11/09
Desarrollador y Diseñador en Facebook,"Madrid, España",09/03/11
Programador PHP+MySQL,"Barcelona, España",14/01/09
Webmaster - gestión de contenidos digitales,"Barcelona, España",21/04/11
Modelador 3D/ Experto en render,"Barcelona, España",06/06/11
Diseñador - Programador Flash,"Sevilla, España",25/09/13
Maquetador,"Barcelona, España",17/05/11
Flashero creativo (o viceversa),"Madrid, España",15/03/11
Programador PHP,"Jerez de la Frontera, España",08/04/13
Diseñador gráfico freelance para apliación android,"Madrid, España",08/09/11
SEO senior,"Madrid, España",16/09/10
Analista Programador Drupal / Ubercart,"Madrid, España",04/10/13
Programador / Maquetador Freelance,"Madrid, España",08/09/14
Desarrollador IOS,"Bilbo, España",21/03/14
Programador Back End .NET,"Madrid, España",10/08/16
Programador freelance Wordpress + Woocommerce,"Barcelona, España",20/07/15
Freelance Desarrollo Joomla/Drupal,indiferente,09/09/11
Diseñador Gráfico,"Valencia, España",01/10/09
Graphic and Web Designer,"Daisy Hill, Australia",20/01/15
JS Developer,"Barcelona, España",29/09/11
Web Master,"Madrid, España",03/12/15
Programador Aplicaciones iPhone/Android/BlackBerry,"Barcelona, España",05/09/11
Full-stack PHP Symfony Developer,"Valencia, España",01/12/16
Diseñador,"Madrid, España",17/08/09
Bilingual Community Manager (with French or English and Spanish),"Barcelona, España",28/03/16
Mobile App tester,"Barcelona, España",13/11/12
Diseñador 3D freelance,"Barcelona, España",15/03/16
Desarrollador Web Sénior tecnología .NET,"Valencia, España",10/11/11
Red social sobre música,"Alacant, España",20/09/10
Maquetador,En remoto,04/11/16
Creativo,"Madrid, España",04/07/12
Community Manager freelance especializado en deportes,En remoto,08/02/17
Desarrollador full stack,"Madrid, España",12/01/16
operador de cámara y montador para realizar reportaje social ...,"Alta Gracia, Argentina",04/10/11
Tecnico de Calidad Web (QA Tester),"Barcelona, España",18/08/11
WEB SUPPORT INTERN,"Barcelona, España",07/01/12
Tecnico Informatico en prácticas,"Madrid, España",12/12/16
Maquetador Web y Consultor SEO,"Valencia, España",02/06/16
Programador Web,"Madrid, España",23/04/10
Diseñador Gráfico,"Valencia, España",01/10/13
"Programador PHP, MySQL, Jquery - MADRID","Madrid, España",23/03/11
Diseñador de Stands y Escenografía efímera,"Madrid, España",16/09/15
Lingüistas con conocimientos de sueco/danés/noruego,"Barcelona, España",13/06/16
Copywriter Jr,"Madrid, España",16/01/17
DISEÑADOR GRAFICO - MULTIMEDIA,"Alacant, España",17/11/10
Desarrollador / Programador web Junior,"La Coruña, España",10/10/16
Programador Marketing Online,"Barcelona, España",14/01/11
Diseñador Digital - Creativo,"Bilbao, España",11/01/17
Programadores Senior .Net,"Madrid, España",18/05/16
Diseñador web / Project Manager,"Madrid, España",13/03/12
Programador iOS,"Aranjuez, España",22/08/13
Programador Web,"Madrid, España",14/11/16
copy junior contrato prácticas,"Madrid, España",25/03/11
BECARIO/A DISEÑADOR GRÁFICO Y WEB,"Barcelona, España",29/09/11
Web Developer,"Igualada, España",03/08/15
Systems Administrator -  Web Infrastructure,"Barcelona, España",03/11/16
Diseñador industrial,"Barcelona, España",22/04/15
DISEÑADOR/MAQUETADOR WEB,"Palma, España",27/09/12
Gestor de Contenidos Digitales,"Madrid, España",11/12/15
Practica Diseño Web - Barcelona,"Barcelona, España",14/01/11
Frontend Engineer,"Barcelona, España",03/05/13
Generalista 3D especializado en infoarquitectura,"Barcelona, España",16/12/16
Director de Arte online,"Madrid, España",14/01/09
Maquetador Web Senior,"Madrid, España",18/05/15
Back-end Developer,"Madrid, España",08/07/14
Animador Flash multimedia,"Madrid, España",21/04/10
"Programadores php / Android / iOS /  frontend, SEO / SEM y di...","Mánchester, Reino Unido",28/06/13
Programador freelance Shopify - Pasarelas de pago,"Madrid, España",23/08/12
Diseñador Gráfico / Motion,"Ibiza, España",08/05/12
Outsourcing ART Manager,"Barcelona, España",19/11/14
2 Becas para The Viral College España,"Madrid, España",20/09/10
Comercial freelance para captación de proyectos on/off,Indiferente,01/09/15
Programador,"Getafe, España",15/04/11
Programador Php,"Valencia, España",16/08/11
Programador Junior .NET,"Sevilla, España",31/03/16
Maquetador XHTML/Diseñador Web,"Madrid, España",14/08/09
Delineante Interiorista Aparejador,"Barcelona, España",23/03/16
Diseño gráfico/web,"Mairena del Aljarafe, España",12/02/16
Diseñador/a Tricot Senior - Tordera (Barcelona),"Tordera, España",23/12/10
Programador PHP Senior,"Barcelona, España",10/10/12
Director de Arte Junior digital Vinizius Young &amp; Rubicam,"Barcelona, España",01/10/12
"Web Developer, php/python (Freelance)","Barcelona, España",03/10/13
Front End Developer (Presencial),"Barcelona, España",06/03/14
Video-Artist for App Trailers (from concept to realization),"Sachseln, Suiza",01/09/14
Back-end developer,"Barcelona, España",01/09/14
Jr. SEM Consultant,"Madrid, España",09/01/11
Content Marketer - Estudiante en prácticas,"Barcelona, España",01/09/15
Director de arte online,"San Sebastián de los Reyes, España",05/11/13
Especialista en Marketing Online,"Madrid, España",09/01/17
Developer,"Barcelona, España",07/09/16
Escritor/a de sexología,"Madrid, España",13/10/09
iOS Developer,"Barcelona, España",08/10/15
Consultor Marketing Online SEO/SEM,"Barcelona, España",17/05/16
Marketing digital,"Marbella, España",17/10/16
Graphic Design Assistant,"Barcelona, España",04/02/15
Becario técnico de sistemas,"Madrid, España",09/12/11
Graphic Designer/Community Manager,"Valencia, España",05/01/16
UI/UX Designer,"Madrid, España",31/10/14
Ejecutivo de cuentas,"Madrid, España",06/09/16
Empresa de Software informático busca 3 Comerciales,"A Coruña, España",15/03/12
Diseñador - Entrepreneur,"Ámsterdam, Países Bajos",02/06/11
Becario Marketing Digital - Prácticas,"Barcelona, España",21/02/17
AngularJS Front-end Developer,"Barcelona, España",24/07/15
PROGRAMADOR/A VISUAL BASIC.NET,"Barcelona, España",15/10/12
diseñador web,"Madrid, España",17/11/11
Diseñador/a Gráfico/a,"Barcelona, España",25/05/16
Diseñador Web,"Alacant, España",28/07/14
Diseñador@ Gráfic@ / Ilustrador@ Senior,"Badalona, España",12/11/15
Creativo Junior,"Madrid, España",01/10/09
Arte (Diseñador),"Ciudad Obregón, México",02/07/15
Diseñador Visual Senior,"Madrid, España",30/10/15
RESPONSABLE DE DISSENY,"Barberà del Vallès, España",30/11/11
Prácticas en Diseño y Wordpress,"Pozuelo de Alarcón, España",30/11/16
Mobile developer con pasión,"Madrid, España",09/01/17
PROGRAMADOR/MAQUETADOR WEB (BILBAO),"Bilbo, España",28/01/11
Programador de juegos en Actionscript 3,"Sevilla, España",07/10/13
Desarrollador web samurai con experiencia en PHP5,"Sevilla, España",15/05/12
Ejecutivo de Cuentas Junior Social Media Internacional,"Barcelona, España",19/11/13
Analista de Producto Web (temporal),"Barcelona, España",13/07/16
Programador/a I+D Action Script/Flex junior,"Madrid, España",28/04/11
Comercial. New Business,"Madrid, España",04/02/11
Director de Arte Online Junior,"Madrid, España",18/06/09
Back-End Developer,"Barcelona, España",18/01/16
Responsable de Programación,"Barcelona, España",23/01/15
Programador Magento,"Valencia, España",01/06/10
OPERADOR 3DSMAX Y FUME FX PARA ZARAGOZA,"Zaragoza, España",16/11/10
Sales Marketing Services,"Madrid, España",22/09/16
Diseñador Web,"Madrid, España",19/06/10
Senior Interface Developer,"Málaga, España",27/07/11
Experto en Drupal,"Madrid, España",06/05/11
Diseñadores de Interactivos Multimedia con Flash BECARIOS,"Madrid, España",21/09/10
Desarrollador web (técnico en gestor de contenidos),"Logroño, España",15/07/14
Comercial para eventos,En remoto,06/03/17
Programador PHP freelance,"Madrid, España",17/03/10
"Community managers freelance para facebook, twitter y linkedin","Madrid, España",10/08/10
Diseñador web (Prácticas),"Madrid, España",20/04/11
